,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
48,р-н Центральный,11000.0,2,59.0,11.0,6,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,панельный,17,1,1,открытая во дворе,1,ул. Домостроителей
49,р-н Центральный,12000.0,2,57.0,9.0,8,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,1,1,панельный,9,1,0,,1,пр-т Дружбы
50,р-н Центральный,17000.0,1,38.0,10.0,3,,,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,1,0,0,блочный,4,0,0,за шлагбаумом во дворе,0,ул. Ленина
51,р-н Центральный,15000.0,2,59.6,11.0,15,"балкон, лоджия",изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,1,0,0,панельный,17,0,0,,0,пр-т Анатолия Дериглазова
52,р-н Центральный,10000.0,2,45.0,8.0,8,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,1,0,0,панельный,9,1,0,открытая во дворе,1,ул. Карла Либкнехта
53,р-н Сеймский,11000.0,1,36.0,10.0,1,лоджия,,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,0,0,0,кирпичный,10,1,0,открытая во дворе,1,ул. Черняховского
54,р-н Центральный,20000.0,1,43.5,10.0,16,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина",Wi-Fi,0,0,0,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе,1,ул. Павлуновского
55,р-н Центральный,10000.0,1,40.0,10.0,4,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, телевизор",телевидение,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
56,р-н Центральный,15000.0,1,44.3,15.0,9,"балкон, лоджия",,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,9,1,1,"открытая во дворе, за шлагбаумом во дворе",1,Хуторская ул.
57,р-н Сеймский,8000.0,2,42.0,6.0,1,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,1,0,0,панельный,5,0,0,открытая во дворе,0,ул. Дейнеки
58,р-н Центральный,40000.0,2,70.0,20.0,8,лоджия,изолированные,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",0,0,0,монолитный,10,1,1,за шлагбаумом во дворе,1,ул. Льва Толстого
59,р-н Центральный,22000.0,3,82.0,10.0,11,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель",,1,0,0,панельный,17,1,1,"подземная, наземная многоуровневая, открытая во дворе",1,пр-т Победы
60,р-н Центральный,30000.0,2,74.0,16.0,1,"балкон, лоджия",изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,1,1,кирпичный,9,1,0,открытая во дворе,1,ул. Челюскинцев
61,р-н Центральный,15000.0,1,36.0,7.0,4,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,1,1,0,панельный,5,0,0,открытая во дворе,0,ул. Димитрова
