,Адрес,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Максимум гостей,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка
144,"Курская область, Курск, пр-т Анатолия Дериглазова, 43",р-н Центральный,9 000 ₽ в месяц,1,38 м²,10 м²,7 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,панельный,17,1,1,открытая во дворе
145,"Курская область, Курск, микрорайон Северо-Западный, Студенческая ул., 2",р-н Центральный,5 000 ₽ в месяц,4,85 м²,20 м²,7 из 10,балкон,изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, телевизор",телевидение,нет,нет,нет,,панельный,10,1,,
146,"Курская область, Курск, ул. Степана Разина, 24",р-н Центральный,9 500 ₽ в месяц,1,32 м²,6 м²,1 из 5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,да,нет,нет,,кирпичный,5,,,
147,"Курская область, Курск, Никитская ул., 16",р-н Центральный,10 000 ₽ в месяц,1,35 м²,10 м²,1 из 10,лоджия,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,нет,нет,нет,,кирпичный,10,1,,открытая во дворе
148,"Курская область, Курск, ул. Софьи Перовской, 18",р-н Центральный,30 000 ₽ в месяц,1,45 м²,11.4 м²,15 из 17,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",нет,нет,нет,,монолитный,17,1,1,"открытая во дворе, за шлагбаумом во дворе"
149,"Курская область, Курск, Запольная ул., 60А",р-н Центральный,17 000 ₽ в месяц,1,38 м²,10 м²,7 из 18,лоджия,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,нет,нет,нет,,монолитный,18,2,1,за шлагбаумом во дворе
150,"Курская область, Курск, ул. Льва Толстого, 21",р-н Центральный,25 000 ₽ в месяц,1,38.7 м²,16 м²,8 из 10,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",Wi-Fi,нет,нет,нет,,кирпичный,10,1,,"открытая во дворе, за шлагбаумом во дворе"
151,"Курская область, Курск, микрорайон Северо-Западный, пр-т Энтузиастов, 8",р-н Центральный,15 000 ₽ в месяц,3,60 м²,9 м²,8 из 9,лоджия,изолированные,,косметический,,,,да,нет,,,панельный,9,,,
152,"Курская область, Курск, пр-т Вячеслава Клыкова, 62",р-н Центральный,11 000 ₽ в месяц,1,37 м²,10 м²,6 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,да,нет,нет,,панельный,17,1,1,открытая во дворе
153,"Курская область, Курск, пр-т Вячеслава Клыкова, 86",р-н Центральный,9 000 ₽ в месяц,1,39 м²,10 м²,10 из 17,балкон,,совмещенный,косметический,"кухня, спальные места","холодильник, плита, микроволновка, стиральная машина",,да,нет,нет,,панельный,17,1,1,открытая во дворе
154,"Курская область, Курск, ул. 50 лет Октября, 96Б",р-н Центральный,12 000 ₽ в месяц,1,42 м²,10 м²,5 из 9,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",Wi-Fi,нет,нет,нет,,кирпичный,9,1,,
155,"Курская область, Курск, ул. Горького, 17",р-н Центральный,30 000 ₽ в месяц,3,80 м²,10 м²,2 из 2,лоджия,изолированные,раздельный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,2,нет,нет,за шлагбаумом во дворе
156,"Курская область, Курск, Сумская ул., 7",р-н Сеймский,10 000 ₽ в месяц,1,44 м²,20 м²,4 из 10,,,,косметический,,,,нет,нет,,,кирпичный,10,,,
157,"Курская область, Курск, пр-т Анатолия Дериглазова, 91",р-н Центральный,12 000 ₽ в месяц,1,39 м²,10 м²,16 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,да,нет,нет,,панельный,17,1,1,открытая во дворе
158,"Курская область, Курск, ул. Карла Маркса, 66Д",р-н Центральный,25 000 ₽ в месяц,2,48 м²,19.5 м²,7 из 8,балкон,смежные,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,монолитный,8,нет,1,"подземная, открытая во дворе, за шлагбаумом во дворе"
159,"Курская область, Курский р-н, пос. Юбилейный, Цветочная ул., 7",,25 000 ₽ в месяц,3,70 м²,15 м²,1 из 2,,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,2,нет,нет,открытая во дворе
160,"Курская область, Курск, ул. Домостроителей, 6",р-н Центральный,7 000 ₽ в месяц,1,39 м²,10 м²,5 из 17,балкон,,совмещенный,косметический,кухня,плита,Wi-Fi,да,нет,нет,,панельный,17,1,1,открытая во дворе
161,"Курская область, Курск, ул. 50 лет Октября, 155А",р-н Центральный,17 000 ₽ в месяц,2,44 м²,6 м²,2 из 5,,смежные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,,,панельный,5,,,открытая во дворе
162,"Курская область, Курск, Северный район, ул. Генерала Григорова, 42",р-н Центральный,7 500 ₽ в месяц,студия,29 м²,,4 из 5,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",Wi-Fi,нет,нет,нет,,монолитно-кирпичный,5,нет,нет,открытая во дворе
163,"Курская область, Курск, пр-т Анатолия Дериглазова, 81",р-н Центральный,14 000 ₽ в месяц,2,62 м²,12 м²,15 из 17,балкон,изолированные,раздельный,косметический,,,Wi-Fi,нет,нет,нет,,панельный,17,,,
164,"Курская область, Курск, пр-т Вячеслава Клыкова, 58",р-н Центральный,7 000 ₽ в месяц,1,39 м²,10 м²,11 из 17,балкон,,совмещенный,косметический,,,,да,нет,нет,,панельный,17,1,1,
165,"Курская область, Курск, пр-т Надежды Плевицкой, 11",р-н Центральный,18 000 ₽ в месяц,2,40 м²,16 м²,7 из 10,"балкон, лоджия",изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,панельный,10,1,1,"открытая во дворе, за шлагбаумом во дворе"
166,"Курская область, Курск, пр-т Анатолия Дериглазова, 21",р-н Центральный,10 000 ₽ в месяц,2,60 м²,9 м²,6 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",телевидение,да,нет,нет,,панельный,17,1,1,открытая во дворе
167,"Курская область, Курск, ул. Бойцов 9-й Дивизии, 197",р-н Центральный,12 000 ₽ в месяц,2,52.3 м²,10 м²,3 из 10,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",,да,нет,нет,,панельный,10,1,,открытая во дворе
168,"Курская область, Курск, пр-т Вячеслава Клыкова, 16",р-н Центральный,14 000 ₽ в месяц,2,75 м²,15 м²,9 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,да,да,,монолитный,9,1,,
169,"Курская область, Курск, ул. Гоголя, 47",р-н Центральный,10 000 ₽ в месяц,1,34 м²,7 м²,3 из 5,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,нет,нет,нет,,кирпичный,5,,,открытая во дворе
170,"Курская область, Курский р-н, пос. Лазурный, 2",,7 000 ₽ в месяц,1,37 м²,10 м²,2 из 3,балкон,,совмещенный,косметический,"кухня, хранение одежды","холодильник, плита, стиральная машина, водонагреватель","Wi-Fi, телевидение",да,нет,нет,,кирпичный,3,нет,нет,открытая во дворе
171,"Курская область, Курск, ул. Димитрова, 52",р-н Центральный,30 000 ₽ в месяц,3,92 м²,14 м²,5 из 10,,изолированные,,евро,,"холодильник, плита, стиральная машина, фен, утюг",Wi-Fi,да,нет,,,кирпичный,10,,,
172,"Курская область, Курск, пр-т Анатолия Дериглазова, 91",р-н Центральный,9 000 ₽ в месяц,1,34.5 м²,9 м²,13 из 17,балкон,,совмещенный,евро,,,,да,нет,нет,,панельный,17,1,1,
173,"Курская область, Курск, Центральный округ, пр-т Дружбы, 10",р-н Центральный,10 000 ₽ в месяц,1,35 м²,9 м²,9 из 9,лоджия,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,нет,,панельный,9,1,нет,открытая во дворе
174,"Курская область, Курск, ул. Ватутина, 24",р-н Центральный,14 000 ₽ в месяц,3,70 м²,10 м²,7 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,да,,кирпичный,9,1,,за шлагбаумом во дворе
175,"Курская область, Курск, Звёздная ул., 11Б",р-н Центральный,25 000 ₽ в месяц,2,67.5 м²,13 м²,5 из 10,лоджия,изолированные,раздельный,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,10,1,1,открытая во дворе
176,"Курская область, Курск, микрорайон КЗТЗ, ул. Комарова, 7",р-н Сеймский,8 000 ₽ в месяц,2,45 м²,6 м²,3 из 5,балкон,смежные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,да,да,нет,,панельный,5,,,
177,"Курская область, Курск, ул. Радищева, 87/7",р-н Центральный,40 000 ₽ в месяц,4,75 м²,10 м²,2 из 5,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,да,да,нет,,кирпичный,5,,,за шлагбаумом во дворе
178,"Курская область, Курск, пр-т Ленинского Комсомола, 52Б",р-н Сеймский,10 000 ₽ в месяц,1,41 м²,10 м²,4 из 10,лоджия,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, телевизор",Wi-Fi,да,да,нет,,панельный,10,1,нет,открытая во дворе
179,"Курская область, Курск, ул. Ленина, 31",р-н Центральный,14 000 ₽ в месяц,1,31 м²,7 м²,8 из 9,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",,да,да,нет,,кирпичный,9,1,,
180,"Курская область, Курск, ул. Домостроителей, 10",р-н Центральный,7 000 ₽ в месяц,1,39 м²,10 м²,3 из 17,балкон,,совмещенный,косметический,кухня,,,да,нет,нет,,панельный,17,,,
181,"Курская область, Курск, пр-т Анатолия Дериглазова, 1",р-н Центральный,14 000 ₽ в месяц,1,38 м²,10 м²,14 из 17,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,нет,нет,нет,,панельный,17,1,1,открытая во дворе
